produto,instituicao,emissor,codigo,indexador,tipo_de_regime,data_de_emissao,vencimento,quantidade,quantidade_disponivel,quantidade_indisponivel,motivo,contraparte,preco_atualizado_mtm,valor_atualizado_mtm,preco_atualizado_curva,valor_atualizado_curva,source_path,unnamed:_17,unnamed:_18
CDB - BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,CDB524D179K,DI,REGISTRADO,28/05/2024,28/05/2027,2000000.0,2000000.0,-,-,-,-,-,,20000.00,/media/lucas/Files/2.Projetos/0.mylake/raw/investments/b3/lucas/relatorio-consolidado-mensal-2025-maio.xlsx,-,-
CDB - BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,CDB8240JQWV,DI,REGISTRADO,10/05/2024,10/05/2027,1002860.0,1002860.0,-,-,-,-,-,,10028.60,/media/lucas/Files/2.Projetos/0.mylake/raw/investments/b3/lucas/relatorio-consolidado-mensal-2025-maio.xlsx,-,-
CDB - BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,CDB524D179K,DI,REGISTRADO,28/05/2024,28/05/2027,2000000.0,2000000.0,-,-,-,-,-,,20180.25,/media/lucas/Files/2.Projetos/0.mylake/raw/investments/b3/lucas/relatorio-consolidado-mensal-2025-junho.xlsx,-,-
CDB - BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,CDB8240JQWV,DI,REGISTRADO,10/05/2024,10/05/2027,1002860.0,1002860.0,-,-,-,-,-,,10183.27,/media/lucas/Files/2.Projetos/0.mylake/raw/investments/b3/lucas/relatorio-consolidado-mensal-2025-junho.xlsx,-,-
CDB - BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,CDB524D179K,DI,REGISTRADO,28/05/2024,28/05/2027,2000000.0,2000000.0,-,-,-,-,-,,20362.69,/media/lucas/Files/2.Projetos/0.mylake/raw/investments/b3/lucas/relatorio-consolidado-mensal-2025-julho.xlsx,-,-
CDB - BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,CDB8240JQWV,DI,REGISTRADO,10/05/2024,10/05/2027,1002860.0,1002860.0,-,-,-,-,-,,10275.23,/media/lucas/Files/2.Projetos/0.mylake/raw/investments/b3/lucas/relatorio-consolidado-mensal-2025-julho.xlsx,-,-
CDB - BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,CDB524D179K,DI,REGISTRADO,28/05/2024,28/05/2027,2000000.0,2000000.0,-,-,-,-,-,,20556.53,/media/lucas/Files/2.Projetos/0.mylake/raw/investments/b3/lucas/relatorio-consolidado-mensal-2025-agosto.xlsx,-,-
CDB - BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,CDB8240JQWV,DI,REGISTRADO,10/05/2024,10/05/2027,1002860.0,1002860.0,-,-,-,-,-,,10372.93,/media/lucas/Files/2.Projetos/0.mylake/raw/investments/b3/lucas/relatorio-consolidado-mensal-2025-agosto.xlsx,-,-
CDB - BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,CDB524D179K,DI,REGISTRADO,28/05/2024,28/05/2027,2000000.0,2000000.0,-,-,-,-,-,,20744.68,/media/lucas/Files/2.Projetos/0.mylake/raw/investments/b3/lucas/relatorio-consolidado-mensal-2025-setembro.xlsx,-,-
CDB - BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,BANCO DAYCOVAL S/A,CDB8240JQWV,DI,REGISTRADO,10/05/2024,10/05/2027,1002860.0,1002860.0,-,-,-,-,-,,10467.76,/media/lucas/Files/2.Projetos/0.mylake/raw/investments/b3/lucas/relatorio-consolidado-mensal-2025-setembro.xlsx,-,-
